No.,Open,High,Low,Close,ClassificationValue,Label
0,61.28,61.66,60.92,61.52,1,持有
1,61.25,61.31,60.67,61.19,1,持有
2,60.33,60.99,60.16,60.73,1,持有
3,59.99,60.16,59.46,59.8,1,持有
4,59.48,60.04,59.38,59.86,1,持有
5,59.53,60.07,59.33,59.63,1,賣出
6,59.46,59.77,59.07,59.22,1,持有
7,59.19,60.05,59.19,59.77,1,持有
8,59.59,59.98,59.13,59.13,1,賣出
9,59.0,59.57,58.84,59.31,1,持有
10,59.35,59.63,58.49,58.8,1,賣出
11,59.27,59.7,59.2,59.4,1,買進
